"","X","ncbi_name","phylotree_tip_label","img_id","ncbi_acc","kegg_abb","trnadb_name","families","ecosystem","habitat"
"1142",1142,"Thermus oshimai JL-2","t2508501045",2508501045,"GCA_000309885.1","tos","Thermus oshimai JL-2","Deinococcus-Thermus","Environmental","Aquatic, Hot spring"
"1143",1143,"Thermus sp. CCB_US3_UF1","t2511231187",2511231187,"GCA_000236585.1","thc","Thermus sp. CCB US3 UF1","Deinococcus-Thermus","Environmental","Aquatic, Hot spring"
"1146",1146,"Thermus thermophilus HB8","t637000323",637000323,"GCA_000091545.1","ttj","Thermus thermophilus HB8","Deinococcus-Thermus","Environmental","Fresh water, Hot spring"
"1147",1147,"Deinococcus maricopensis DSM 21211","t649633034",649633034,"GCA_000186385.1","dmr","Deinococcus maricopensis DSM 21211","Deinococcus-Thermus","Environmental","Soil"
"1148",1148,"Deinococcus peraridilitoris DSM 19664","t2509276065",2509276065,"GCA_000317835.1","dpd","Deinococcus peraridilitoris DSM 19664","Deinococcus-Thermus","Environmental","Soil"
"1150",1150,"Deinococcus gobiensis I-0","t2512564069",2512564069,"GCA_000252445.1","dgo","Deinococcus gobiensis I-0","Deinococcus-Thermus","Environmental","Sand"
"1151",1151,"Deinococcus deserti VCD115","t643692020",643692020,"GCA_000020685.1","ddr","Deinococcus deserti VCD115","Deinococcus-Thermus","Environmental","Soil"
"1152",1152,"Deinococcus radiodurans R1","t637000092",637000092,"GCA_000008565.1","dra","Deinococcus radiodurans R1","Deinococcus-Thermus","Engineered","Soil"
"1153",1153,"Deinococcus proteolyticus MRP","t649633035",649633035,"GCA_000190555.1","dpt","Deinococcus proteolyticus MRP","Deinococcus-Thermus","Host-associated","Host, Soil"
"1154",1154,"Deinococcus geothermalis DSM 11300","t641228488",641228488,"GCA_000196275.1","dge","Deinococcus geothermalis DSM 11300","Deinococcus-Thermus","Environmental","Aquatic, Fresh water, Hot spring"
"1155",1155,"Truepera radiovictrix DSM 17093","t646564586",646564586,"GCA_000092425.1","tra",NA,"Deinococcus-Thermus","Environmental","Aquatic, Fresh water, Hot spring"
"1156",1156,"Gloeobacter violaceus PCC 7421","t637000121",637000121,"GCA_000011385.1","gvi","Gloeobacter violaceus PCC 7421","Cyanobacteria/Melainabacteria group","Environmental","Fresh water, Soil"
"1157",1157,"Synechococcus sp. JA-2-3B'a(2-13)","t637000312",637000312,"GCA_000013225.1","cyb","Synechococcus sp. JA-2-3Ba2-13","Cyanobacteria/Melainabacteria group","Environmental","Fresh water, Hot spring"
"1158",1158,"Synechococcus sp. JA-3-3Ab","t637000313",637000313,"GCA_000013205.1","cya","Synechococcus sp. JA-3-3Ab","Cyanobacteria/Melainabacteria group","Environmental","Fresh water, Hot spring"
"1159",1159,"Synechococcus sp. RCC307","t640427148",640427148,"GCA_000063525.1","syr","Synechococcus sp. RCC307","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1167",1167,"Synechococcus sp. CC9311","t637000309",637000309,"GCA_000014585.1","syg","Synechococcus sp. CC9311","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1168",1168,"Synechococcus sp. WH 7803","t640427149",640427149,"GCA_000063505.1","syx","Synechococcus sp. WH 7803","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1170",1170,"Synechococcus sp. WH 8102","t637000314",637000314,"GCA_000195975.1","syw",NA,"Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1171",1171,"Synechococcus sp. CC9605","t637000310",637000310,"GCA_000012625.1","syd","Synechococcus sp. CC9605","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1172",1172,"Synechococcus sp. CC9902","t637000311",637000311,"GCA_000012505.1","sye","Synechococcus sp. CC9902","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1174",1174,"Prochlorococcus marinus subsp. marinus str. CCMP1375","t637000213",637000213,"GCA_000007925.1","pma","Prochlorococcus marinus subsp. marinus str. CCMP1375 SS120","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1176",1176,"Prochlorococcus marinus subsp. pastoris str. CCMP1986","t637000214",637000214,"GCA_000011465.1","pmm","Prochlorococcus marinus subsp. pastoris str. CCMP1986 MED4","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1177",1177,"Prochlorococcus marinus str. MIT 9515","t640069324",640069324,"GCA_000015665.1","pmc","Prochlorococcus marinus str. MIT 9515","Cyanobacteria/Melainabacteria group","Environmental","Marine, Surface water"
"1178",1178,"Prochlorococcus marinus str. MIT 9215","t640753041",640753041,"GCA_000018065.1","pmh","Prochlorococcus marinus str. MIT 9215","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1180",1180,"Prochlorococcus marinus str. MIT 9301","t640069322",640069322,"GCA_000015965.1","pmg","Prochlorococcus marinus str. MIT 9301","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1181",1181,"Prochlorococcus marinus str. AS9601","t640069321",640069321,"GCA_000015645.1","pmb","Prochlorococcus marinus str. AS9601","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1182",1182,"Prochlorococcus marinus str. MIT 9312","t637000210",637000210,"GCA_000012645.1","pmi","Prochlorococcus marinus str. MIT 9312","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1183",1183,"Prochlorococcus marinus str. NATL1A","t640069325",640069325,"GCA_000015685.1","pme","Prochlorococcus marinus str. NATL1A","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1185",1185,"Prochlorococcus marinus str. MIT 9303","t640069323",640069323,"GCA_000015705.1","pmf","Prochlorococcus marinus str. MIT 9303","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Marine"
"1187",1187,"Synechococcus elongatus PCC 7942","t637000308",637000308,"GCA_000012525.1","syf","Synechococcus elongatus PCC 7942","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Fresh water"
"1190",1190,"Thermosynechococcus elongatus BP-1","t637000320",637000320,"GCA_000011345.1","tel","Thermosynechococcus elongatus BP-1","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Fresh water, Hot spring"
"1191",1191,"Cyanothece sp. PCC 7425","t643348534",643348534,"GCA_000022045.1","cyn","Cyanothece sp. PCC 7425","Cyanobacteria/Melainabacteria group","Environmental","Fresh water"
"1192",1192,"Acaryochloris marina MBIC11017","t641228474",641228474,"GCA_000018105.1","amr","Acaryochloris marina MBIC11017","Cyanobacteria/Melainabacteria group","Host-associated","Marine"
"1193",1193,"Trichodesmium erythraeum IMS101","t637000329",637000329,"GCA_000014265.1","ter","Trichodesmium erythraeum IMS101","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1203",1203,"Nostoc punctiforme PCC 73102","t642555144",642555144,"GCA_000020025.1","npu","Nostoc punctiforme PCC 73102 ATCC 29133","Cyanobacteria/Melainabacteria group","Host-associated","Fresh water, Soil"
"1205",1205,"Anabaena variabilis ATCC 29413","t646564504",646564504,"GCA_000204075.1","ava","Anabaena variabilis ATCC 29413","Cyanobacteria/Melainabacteria group","Engineered","Aquatic, Fresh water, Ponds, Soil"
"1206",1206,"'Nostoc azollae' 0708","t648028001",648028001,"GCA_000196515.1","naz",NA,"Cyanobacteria/Melainabacteria group","Host-associated","Aquatic, Host"
"1210",1210,"Cyanothece sp. PCC 8801","t643348535",643348535,"GCA_000021805.1","cyp","Cyanothece sp. PCC 8801","Cyanobacteria/Melainabacteria group","Environmental","Fresh water"
"1214",1214,"Cyanothece sp. ATCC 51142","t641522622",641522622,"GCA_000017845.1","cyt","Cyanothece sp. ATCC 51142","Cyanobacteria/Melainabacteria group","Environmental","Marine"
"1216",1216,"Microcystis aeruginosa NIES-843","t641522640",641522640,"GCA_000010625.1","mar","Microcystis aeruginosa NIES-843","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Fresh water, Host"
"1217",1217,"Cyanothece sp. PCC 7424","t643348533",643348533,"GCA_000021825.1","cyc","Cyanothece sp. PCC 7424","Cyanobacteria/Melainabacteria group","Environmental","Fresh water"
"1218",1218,"Cyanothece sp. PCC 7822","t648028021",648028021,"GCA_000147335.1","cyj","Cyanothece sp. PCC 7822","Cyanobacteria/Melainabacteria group","Environmental","Fresh water"
"1219",1219,"Synechococcus sp. PCC 7002","t641522654",641522654,"GCA_000019485.1","syp","Synechococcus sp. PCC 7002 ATCC 27264","Cyanobacteria/Melainabacteria group","Environmental","Host, Marine, Mud"
"1220",1220,"Synechocystis sp. PCC 6803","t637000315",637000315,"GCA_000009725.1","syn","Synechocystis sp. PCC 6803","Cyanobacteria/Melainabacteria group","Environmental","Aquatic, Fresh water"
"1223",1223,"Dehalogenimonas lykanthroporepellens BL-DC-9","t648028022",648028022,"GCA_000143165.1","dly","Dehalogenimonas lykanthroporepellens BL-DC-9","Chloroflexi","Engineered","Groundwater"
"1224",1224,"Dehalococcoides mccartyi CBDB1","t637000090",637000090,"GCA_000009025.1","deh","Dehalococcoides mccartyi CBDB1","Chloroflexi","Environmental","Aquatic, Fresh water, Groundwater, Sediment"
"1227",1227,"Dehalococcoides mccartyi 195","t637000089",637000089,"GCA_000011905.1","det","Dehalococcoides mccartyi 195","Chloroflexi","","Fresh water, Groundwater"
"1228",1228,"Dehalococcoides mccartyi VS","t646311919",646311919,"GCA_000025025.1","dev","Dehalococcoides mccartyi VS","Chloroflexi","Environmental","Fresh water, Groundwater"
"1231",1231,"Thermomicrobium roseum DSM 5159","t643348582",643348582,"GCA_000021685.1","tro","Thermomicrobium roseum DSM 5159","Chloroflexi","Environmental",""
"1232",1232,"Sphaerobacter thermophilus DSM 20745","t646311953",646311953,"GCA_000024985.1","sti","Sphaerobacter thermophilus DSM 20745","Chloroflexi","Engineered","Sludge, Wastewater"
"1233",1233,"Thermobaculum terrenum ATCC BAA-798","t646311962",646311962,"GCA_000025005.1","ttr","Thermobaculum terrenum ATCC BAA-798","unclassified Terrabacteria group","Environmental","Soil"
"1234",1234,"Herpetosiphon aurantiacus DSM 785","t2508501111",2508501111,"GCA_000018565.1","hau","Herpetosiphon aurantiacus DSM 785","Chloroflexi","Environmental","Aquatic, Fresh water, Hot spring"
"1236",1236,"Chloroflexus aggregans DSM 9485","t643348527",643348527,"GCA_000021945.1","cag","Chloroflexus aggregans DSM 9485","Chloroflexi","Environmental","Aquatic, Fresh water, Hot spring"
"1237",1237,"Chloroflexus aurantiacus J-10-fl","t641228485",641228485,"GCA_000018865.1","cau","Chloroflexus aurantiacus J-10-fl","Chloroflexi","Environmental","Aquatic, Fresh water, Hot spring"
"1240",1240,"Roseiflexus sp. RS-1","t640427139",640427139,"GCA_000016665.1","rrs","Roseiflexus sp. RS-1","Chloroflexi","Environmental","Hot spring, Marine"
"1241",1241,"Roseiflexus castenholzii DSM 13941","t640753047",640753047,"GCA_000017805.1","rca","Roseiflexus castenholzii DSM 13941","Chloroflexi","Environmental","Aquatic, Hot spring, Marine"
"1242",1242,"Anaerolinea thermophila UNI-1","t649633005",649633005,"GCA_000199675.1","atm","Anaerolinea thermophila UNI-1","Chloroflexi","Engineered","Fresh water, Sludge, Wastewater"
"1243",1243,"Cryptobacterium curtum DSM 15641","t644736346",644736346,"GCA_000023845.1","ccu","Cryptobacterium curtum DSM 15641","Actinobacteria","Host-associated","Host, Human, Human oral cavity"
"1244",1244,"Eggerthella sp. YY7918","t650716034",650716034,"GCA_000270285.1","eyy","Eggerthella sp. YY7918","Actinobacteria","Host-associated","Host"
"1247",1247,"Eggerthella lenta DSM 2243","t644736358",644736358,"GCA_000024265.1","ele","Eggerthella lenta DSM 2243","Actinobacteria","Host-associated","Host, Human"
"1249",1249,"Slackia heliotrinireducens DSM 20476","t644736405",644736405,"GCA_000023885.1","shi","Slackia heliotrinireducens DSM 20476","Actinobacteria","Host-associated","Host"
"1252",1252,"Atopobium parvulum DSM 20469","t644736327",644736327,"GCA_000024225.1","apv","Atopobium parvulum DSM 20469","Actinobacteria","Host-associated","Host, Human"
"1253",1253,"Olsenella uli DSM 7084","t648028047",648028047,"GCA_000143845.1","ols","Olsenella uli DSM 7084","Actinobacteria","Host-associated","Host, Human"
"1256",1256,"Coriobacterium glomerans PW2","t2503538010",2503538010,"GCA_000195315.1","cgo","Coriobacterium glomerans PW2","Actinobacteria","Host-associated","Host, Insect"
"1259",1259,"Frankia symbiont of Datisca glomerata","t2506783011",2506783011,"GCA_000177615.2","fsy","Frankia symbiont of Datisca glomerata 4085684","Actinobacteria","Host-associated","Host, Plant symbiont, Root nodule, Soil"
"1261",1261,"Frankia alni ACN14a","t637000115",637000115,"GCA_000058485.1","fal","Frankia alni ACN14a ACN14A","Actinobacteria","Host-associated","Host, Soil"
"1262",1262,"Frankia sp. CcI3","t637000116",637000116,"GCA_000013345.1","fra","Frankia sp. CcI3","Actinobacteria","Host-associated","Host, Plant symbiont, Soil"
"1263",1263,"Frankia sp. EAN1pec","t641228492",641228492,"GCA_000018005.1","fre","Frankia sp. EAN1pec EAN1.pec","Actinobacteria","Host-associated","Host, Plant symbiont, Soil"
"1265",1265,"Frankia sp. EuI1c","t649633045",649633045,"GCA_000166135.1","fri","Frankia sp. EuI1c","Actinobacteria","","Host, Plant symbiont, Soil"
"1267",1267,"Acidothermus cellulolyticus 11B","t639633001",639633001,"GCA_000015025.1","ace","Acidothermus cellulolyticus 11B ATCC 43068","Actinobacteria","Environmental","Aquatic, Fresh water, Hot spring"
"1268",1268,"Brachybacterium faecium DSM 4810","t644736331",644736331,"GCA_000023405.1","bfa","Brachybacterium faecium DSM 4810","Actinobacteria","Environmental","Soil"
"1273",1273,"Gardnerella vaginalis 409-05","t646311928",646311928,"GCA_000025205.1","gva","Gardnerella vaginalis 409-05","Actinobacteria","Host-associated","Host, Vagina"
"1277",1277,"Gardnerella vaginalis ATCC 14019","t649633046",649633046,"GCA_000159155.2","gvg","Gardnerella vaginalis ATCC 14019","Actinobacteria","Host-associated","Host, Vagina"
"1281",1281,"Bifidobacterium dentium Bd1","t646311910",646311910,"GCA_000024445.1","bde","Bifidobacterium dentium Bd1","Actinobacteria","Host-associated","Host, Human oral cavity"
"1283",1283,"Bifidobacterium adolescentis ATCC 15703","t639633010",639633010,"GCA_000010425.1","bad","Bifidobacterium adolescentis ATCC 15703","Actinobacteria","Host-associated","Host, Intestinal tract"
"1285",1285,"Bifidobacterium bifidum PRL2010","t649633015",649633015,"GCA_000165905.1","bbp","Bifidobacterium bifidum PRL2010","Actinobacteria","Host-associated","Feces, Gastrointestinal tract, Host, Intestinal tract"
"1289",1289,"Bifidobacterium breve UCC2003","t651053006",651053006,"GCA_000220135.1","bbru","Bifidobacterium breve UCC2003","Actinobacteria","Host-associated","Host, Intestinal tract"
"1291",1291,"Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088","t643348516",643348516,"GCA_000020425.1","bln","Bifidobacterium longum subsp. infantis ATCC 15697 JCM 1222 DSM 20088","Actinobacteria","Host-associated","Feces, Gastrointestinal tract, Host, Human, Human fecal, Intestinal tract"
"1296",1296,"Bifidobacterium longum DJO10A","t642555107",642555107,"GCA_000008945.1","blj","Bifidobacterium longum DJO10A","Actinobacteria","Host-associated","Host, Intestinal tract"
"1305",1305,"Bifidobacterium animalis subsp. lactis AD011","t643348515",643348515,"GCA_000021425.1","bla","Bifidobacterium animalis subsp. lactis AD011","Actinobacteria","Host-associated","Host, Human fecal, Intestinal tract"
"1309",1309,"Bifidobacterium animalis subsp. lactis BLC1","t2511231214",2511231214,"GCA_000224965.2","bbc","Bifidobacterium animalis subsp. lactis BLC1","Actinobacteria","",""
"1318",1318,"Mobiluncus curtisii ATCC 43063","t648028043",648028043,"GCA_000196535.1","mcu","Mobiluncus curtisii ATCC 43063","Actinobacteria","Host-associated","Host"
"1330",1330,"Arcanobacterium haemolyticum DSM 20595","t646564505",646564505,"GCA_000092365.1","ahe","Arcanobacterium haemolyticum DSM 20595","Actinobacteria","Host-associated","Host, Human"
"1332",1332,"Beutenbergia cavernae DSM 12333","t643692008",643692008,"GCA_000023105.1","bcv","Beutenbergia cavernae DSM 12333","Actinobacteria","Environmental","Cave, Soil"
"1333",1333,"Cellulomonas gilvus ATCC 13127","t2505679016",2505679016,"GCA_000218545.1","cga","Cellvibrio gilvus ATCC 13127","Actinobacteria","Host-associated","Feces, Gastrointestinal tract, Host"
"1334",1334,"Cellulomonas flavigena DSM 20109","t646564520",646564520,"GCA_000092865.1","cfl","Cellulomonas flavigena DSM 20109","Actinobacteria","Environmental","Soil"
"1335",1335,"Sanguibacter keddieii DSM 10542","t646564565",646564565,"GCA_000024925.1","ske","Sanguibacter keddieii DSM 10542","Actinobacteria","Host-associated","Bovine, Host"
"1336",1336,"Jonesia denitrificans DSM 20603","t644736376",644736376,"GCA_000024065.1","jde","Jonesia denitrificans DSM 20603","Actinobacteria","Environmental","Bovine, Host"
"1337",1337,"Isoptericola variabilis 225","t2505679068",2505679068,"GCA_000215105.1","iva","Isoptericola variabilis 225","Actinobacteria","Host-associated","Host"
"1339",1339,"Xylanimonas cellulosilytica DSM 15894","t646311968",646311968,"GCA_000024965.1","xce","Xylanimonas cellulosilytica DSM 15894","Actinobacteria","Host-associated","Plants, Wood"
"1343",1343,"Tropheryma whipplei str. Twist","t637000331",637000331,"GCA_000007485.1","twh","Tropheryma whipplei str. Twist","Actinobacteria","Host-associated","Host"
"1344",1344,"Microbacterium testaceum StLB037","t650716057",650716057,"GCA_000202635.1","mts","Microbacterium testaceum StLB037","Actinobacteria","",""
"1345",1345,"Leifsonia xyli subsp. xyli str. CTCB07","t637000149",637000149,"GCA_000007665.1","lxx","Leifsonia xyli subsp. xyli str. CTCB07","Actinobacteria","","Host"
"1347",1347,"Clavibacter michiganensis subsp. michiganensis NCPPB 382","t640427108",640427108,"GCA_000063485.1","cmi","Clavibacter michiganensis subsp. michiganensis NCPPB 382","Actinobacteria","Host-associated","Host"
"1349",1349,"Glutamicibacter arilaitensis Re117","t649633006",649633006,"GCA_000197735.1","aai","Arthrobacter arilaitensis Re117","Actinobacteria","Engineered","Dairy isolates"
"1350",1350,"Arthrobacter sp. FB24","t639633006",639633006,"GCA_000196235.1","art","Arthrobacter sp. FB24","Actinobacteria","Environmental","Soil"
"1351",1351,"Pseudarthrobacter phenanthrenivorans Sphe3","t650377905",650377905,"GCA_000189535.1","apn","Arthrobacter phenanthrenivorans Sphe3","Actinobacteria","Environmental","Soil"
"1352",1352,"Pseudarthrobacter chlorophenolicus A6","t643348509",643348509,"GCA_000022025.1","ach","Arthrobacter chlorophenolicus A6","Actinobacteria","Environmental","Soil"
"1353",1353,"Paenarthrobacter aurescens TC1","t639633005",639633005,"GCA_000014925.1","aau","Arthrobacter aurescens TC1 ATCC BAA-1386","Actinobacteria","Environmental","Soil, Terrestrial"
"1354",1354,"Renibacterium salmoninarum ATCC 33209","t641228502",641228502,"GCA_000018885.1","rsa","Renibacterium salmoninarum ATCC 33209","Actinobacteria","Host-associated","Fresh water, Host"
"1355",1355,"Kocuria rhizophila DC2201","t642555133",642555133,"GCA_000010285.1","krh","Kocuria rhizophila DC2201 DC2201 NBRC 103217","Actinobacteria","Environmental","Host, Marine, Rhizosphere, Soil"
"1356",1356,"Rothia dentocariosa ATCC 17931","t649633093",649633093,"GCA_000164695.2","rdn","Rothia dentocariosa ATCC 17931","Actinobacteria","Host-associated","Host, Human oral cavity"
"1358",1358,"Rothia mucilaginosa DY-18","t646311951",646311951,"GCA_000011025.1","rmu","Rothia mucilaginosa DY-18","Actinobacteria","Host-associated","Host, Human oral cavity"
"1360",1360,"Micrococcus luteus NCTC 2665","t645951813",645951813,"GCA_000023205.1","mlu","Micrococcus luteus NCTC 2665","Actinobacteria","Engineered","Soil"
"1363",1363,"Kineococcus radiotolerans SRS30216 = ATCC BAA-149","t640753031",640753031,"GCA_000017305.1","kra","Kineococcus radiotolerans SRS30216 ATCC BAA-149","Actinobacteria","Engineered","Aquatic, Fresh water"
"1364",1364,"Kytococcus sedentarius DSM 20547","t644736380",644736380,"GCA_000023925.1","kse","Kytococcus sedentarius DSM 20547","Actinobacteria","Environmental","Aquatic, Marine, Sea water"
"1366",1366,"Intrasporangium calvum DSM 43043","t649633057",649633057,"GCA_000184685.1","ica","Intrasporangium calvum DSM 43043","Actinobacteria","Environmental","Air"
"1369",1369,"Nocardioides sp. JS614","t639633046",639633046,"GCA_000015265.1","nca","Nocardioides sp. JS614","Actinobacteria","Environmental","Soil, Terrestrial"
"1371",1371,"Microlunatus phosphovorus NM-1","t650716058",650716058,"GCA_000270245.1","mph","Microlunatus phosphovorus NM-1","Actinobacteria","Engineered","Sludge, Wastewater"
"1379",1379,"Propionibacterium acnes 266","t651053058",651053058,"GCA_000213155.1","paw","Propionibacterium acnes 266","Actinobacteria","Host-associated","Host, Human skin"
"1384",1384,"Propionibacterium acnes TypeIA2 P.acn31","t2511231095",2511231095,"GCA_000240055.1","pax","Propionibacterium acnes TypeIA2 P.acn31","Actinobacteria","",""
"1386",1386,"Kribbella flavida DSM 17836","t646311938",646311938,"GCA_000024345.1","kfl","Kribbella flavida DSM 17836","Actinobacteria","Environmental","Soil"
"1387",1387,"Catenulispora acidiphila DSM 44928","t644736339",644736339,"GCA_000024025.1","cai","Catenulispora acidiphila DSM 44928","Actinobacteria","Environmental","Soil"
"1390",1390,"Kitasatospora setae KM-6054","t2511231086",2511231086,"GCA_000269985.1","ksk","Kitasatospora setae KM-6054","Actinobacteria","Environmental","Soil"
"1391",1391,"Streptomyces cattleya NRRL 8057 = DSM 46488","t2511231113",2511231113,"GCA_000237305.1","sct","Streptomyces cattleya NRRL 8057 DSM 46488","Actinobacteria","","Soil"
"1395",1395,"Streptomyces coelicolor A3(2)","t637000305",637000305,"GCA_000203835.1","sco",NA,"Actinobacteria","Engineered","Soil"
"1397",1397,"Streptomyces bingchenggensis BCW-1","t646862346",646862346,"GCA_000092385.1","sbh","Streptomyces bingchenggensis BCW-1","Actinobacteria","Environmental","Soil"
"1399",1399,"Streptomyces violaceusniger Tu 4113","t648276750",648276750,"GCA_000147815.3","svl","Streptomyces violaceusniger Tu 4113","Actinobacteria","","Soil, Terrestrial"
"1402",1402,"Streptomyces griseus subsp. griseus NBRC 13350","t641522653",641522653,"GCA_000010605.1","sgr","Streptomyces griseus subsp. griseus NBRC 13350","Actinobacteria","","Soil"
"1414",1414,"Streptomyces scabiei 87.22","t646564576",646564576,"GCA_000091305.1","scb","Streptomyces scabiei 87.22","Actinobacteria","","Soil"
"1415",1415,"Streptomyces avermitilis MA-4680 = NBRC 14893","t637000304",637000304,"GCA_000009765.2","sma","Streptomyces avermitilis MA-4680 NBRC 14893","Actinobacteria","Environmental","Soil"
"1418",1418,"Segniliparus rotundus DSM 44985","t646564566",646564566,"GCA_000092825.1","srt","Segniliparus rotundus DSM 44985","Actinobacteria","Host-associated","Host, Human"
"1420",1420,"Corynebacterium kroppenstedtii DSM 44385","t643692019",643692019,"GCA_000023145.1","ckp","Corynebacterium kroppenstedtii DSM 44385","Actinobacteria","Host-associated","Host"
"1421",1421,"Corynebacterium urealyticum DSM 7109","t641522620",641522620,"GCA_000069945.1","cur","Corynebacterium urealyticum DSM 7109","Actinobacteria","Host-associated","Host"
"1423",1423,"Corynebacterium jeikeium K411","t637000085",637000085,"GCA_000006605.1","cjk","Corynebacterium jeikeium K411","Actinobacteria","Host-associated","Host, Human skin"
"1424",1424,"Corynebacterium resistens DSM 45100","t650716029",650716029,"GCA_000177535.2","crd","Corynebacterium resistens DSM 45100","Actinobacteria","Host-associated","Blood, Host"
"1425",1425,"Corynebacterium variabile DSM 44702","t2511231114",2511231114,"GCA_000179395.2","cva","Corynebacterium variabile DSM 44702","Actinobacteria","Engineered","Normal microflora, Soil"
"1435",1435,"Corynebacterium aurimucosum ATCC 700975","t643692018",643692018,"GCA_000022905.1","car","Corynebacterium aurimucosum ATCC 700975","Actinobacteria","Host-associated","Host, Human vaginal microflora"
"1440",1440,"Corynebacterium ulcerans 809","t651053019",651053019,"GCA_000215645.1","cuc","Corynebacterium ulcerans 809","Actinobacteria","","Host"
"1449",1449,"Corynebacterium pseudotuberculosis P54B96","t2512564058",2512564058,"GCA_000255935.1","cpp","Corynebacterium pseudotuberculosis P54B96","Actinobacteria","Host-associated","Host"
"1451",1451,"Corynebacterium pseudotuberculosis C231","t648231703",648231703,"GCA_000144675.1","cpq","Corynebacterium pseudotuberculosis C231","Actinobacteria","Host-associated","Host"
"1453",1453,"Corynebacterium diphtheriae NCTC 13129","t637000082",637000082,"GCA_000195815.1","cdi",NA,"Actinobacteria","Host-associated","Host"
"1454",1454,"Corynebacterium diphtheriae HC02","t2511231091",2511231091,"GCA_000255155.1","cde","Corynebacterium diphtheriae HC02","Actinobacteria","Host-associated","Host"
"1466",1466,"Corynebacterium efficiens YS-314","t644736345",644736345,"GCA_000011305.1","cef","Corynebacterium efficiens YS-314","Actinobacteria","Environmental","Soil"
"1468",1468,"Corynebacterium glutamicum R","t640427110",640427110,"GCA_000010225.1","cgt","Corynebacterium glutamicum R","Actinobacteria","Environmental","Normal microflora, Soil"
"1472",1472,"Amycolicicoccus subflavus DQS3-9A1","t650716009",650716009,"GCA_000214175.1","asd","Amycolicicoccus subflavus DQS3-9A1","Actinobacteria","Environmental","Soil"
"1473",1473,"Nocardia farcinica IFM 10152","t637000198",637000198,"GCA_000009805.1","nfa","Nocardia farcinica IFM 10152","Actinobacteria","Host-associated","Fresh water, Host, Soil"
"1474",1474,"Nocardia cyriacigeorgica GUH-2","t2511231172",2511231172,"GCA_000284035.1","ncy","Nocardia cyriacigeorgica GUH-2","Actinobacteria","",""
"1476",1476,"Rhodococcus equi 103S","t649633089",649633089,"GCA_000196695.1","req","Rhodococcus equi 103S","Actinobacteria","","Host"
"1478",1478,"Rhodococcus erythropolis PR4","t643692033",643692033,"GCA_000010105.1","rer","Rhodococcus erythropolis PR4 PR4 NBRC 100887","Actinobacteria","Environmental","Aquatic, Marine"
"1479",1479,"Rhodococcus opacus B4","t646564564",646564564,"GCA_000010805.1","rop","Rhodococcus opacus B4","Actinobacteria","",""
"1480",1480,"Rhodococcus jostii RHA1","t637000234",637000234,"GCA_000014565.1","rha","Rhodococcus jostii RHA1","Actinobacteria","Environmental","Soil, Terrestrial"
"1481",1481,"Tsukamurella paurometabola DSM 20162","t646564587",646564587,"GCA_000092225.1","tpr","Tsukamurella paurometabola DSM 20162","Actinobacteria","Host-associated","Host, Insect"
"1483",1483,"Gordonia bronchialis DSM 43247","t646311932",646311932,"GCA_000024785.1","gbr","Gordonia bronchialis DSM 43247","Actinobacteria","Host-associated","Host, Human"
"1485",1485,"Gordonia polyisoprenivorans VH2","t2512564042",2512564042,"GCA_000247715.1","gpo","Gordonia polyisoprenivorans VH2","Actinobacteria","Environmental","Soil"
"1487",1487,"Mycobacterium rhodesiae NBB3","t2508501106",2508501106,"GCA_000230895.3","mrh","Mycobacterium rhodesiae NBB3","Actinobacteria","Environmental","Creosote-contaminated soil, Sediment, Soil"
"1489",1489,"Mycobacterium chubuense NBB4","t2506783014",2506783014,"GCA_000266905.1","mcb","Mycobacterium chubuense NBB4","Actinobacteria","","Creosote-contaminated soil, Soil"
"1490",1490,"Mycobacterium gilvum Spyr1","t649633070",649633070,"GCA_000184435.1","msp","Mycobacterium gilvum Spyr1","Actinobacteria","Environmental","Creosote-contaminated soil, Soil"
"1492",1492,"Mycobacterium vanbaalenii PYR-1","t639633044",639633044,"GCA_000015305.1","mva","Mycobacterium vanbaalenii PYR-1","Actinobacteria","Environmental","Sediment"
"1495",1495,"Mycobacterium sp. JLS","t640069320",640069320,"GCA_000016005.1","mjl","Mycobacterium sp. JLS","Actinobacteria","Environmental","Creosote-contaminated soil, Soil"
